"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","62912","test_request_migration_vllm_aggregated[migration_disabled-worker_failure-chat-stream-nats]","tests.fault_tolerance.migration","2026-04-10","passed","2026-04-10","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","66959","test_request_migration_vllm_aggregated[migration_enabled-graceful_shutdown-chat-stream-tcp]","tests.fault_tolerance.migration","2026-04-10","passed","2026-04-10","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_enabled-worker_failure-chat-unary-tcp]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
"Test that combining legacy flags with explicit --disaggregation-mode raises ValueError.","3","test_conflicting_legacy_and_new_flags_raises","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","67064","test_serve_deployment[agg-router]","tests.serve","2026-04-10","passed","2026-04-10","","test_vllm_xpu","",""
"","1","test_encode[False]","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestCreate","test_vllm_worker_factory","",""
"
    Test LoRA inference with aggregated vLLM deployment using KV router.

    This test:
    1. Uses MinIO fixture to provide S3-compatible storage with uploaded LoRA
    2. Starts multiple vLLM workers with LoRA support and KV router
    3. Loads the LoRA adapter on both workers via system API
    4. Runs inference with the LoRA model, verifying KV cache routing
    ","34090","test_lora_aggregated_router[2]","tests.serve","2026-04-10","broken","2026-04-10","","test_vllm","",""
"","0","test_aggregated[False]","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestCreate","test_vllm_worker_factory","",""
"All strategies fail → RuntimeError with VLLM_NIXL_SIDE_CHANNEL_HOST in message.","1","test_all_fail_raises_runtime_error","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestGetHostIp","test_vllm_unit","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_enabled-graceful_shutdown-completion-unary-tcp]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
