workflow_file,job_id,trigger_type,runner,environment_type,classification_basis
.github/workflows/allure-report.yml,resolve-params,direct,ubuntu-latest,host,no docker/k8s markers in job
.github/workflows/allure-report.yml,generate-report,direct,,host,reusable workflow ./.github/workflows/generate-allure-report.yml without docker/k8s patterns
.github/workflows/build-flavor.yml,build,reusable_only,prod-builder-v3,host,no docker/k8s markers in job
.github/workflows/build-frontend-image.yaml,changed-files,mixed,ubuntu-slim,host,no docker/k8s markers in job
.github/workflows/build-frontend-image.yaml,build-frontend-image,mixed,prod-builder-v3,docker,job content includes docker/buildx/buildkit patterns
.github/workflows/build-frontend-image.yaml,compliance,mixed,prod-builder-v3,docker,job content includes docker/buildx/buildkit patterns
.github/workflows/build-frontend-image.yaml,frontend-status-check,mixed,ubuntu-latest,host,no docker/k8s markers in job
.github/workflows/build-frontend-image.yaml,clean-k8s-builder,mixed,prod-default-small-v2,mixed,job content includes docker and k8s patterns
.github/workflows/build-on-demand.yml,init,direct,ubuntu-slim,host,no docker/k8s markers in job
.github/workflows/build-on-demand.yml,vllm-pipeline,direct,,docker,reusable workflow ./.github/workflows/build-flavor.yml includes docker patterns
.github/workflows/build-on-demand.yml,sglang-pipeline,direct,,docker,reusable workflow ./.github/workflows/build-flavor.yml includes docker patterns
.github/workflows/build-on-demand.yml,trtllm-pipeline,direct,,docker,reusable workflow ./.github/workflows/build-flavor.yml includes docker patterns
.github/workflows/build-on-demand.yml,operator,direct,prod-default-v2,docker,job content includes docker/buildx/buildkit patterns
.github/workflows/build-on-demand.yml,clean-k8s-builder,direct,prod-default-small-v2,mixed,job content includes docker and k8s patterns
.github/workflows/build-test-distribute-flavor-matrix.yml,pipeline,reusable_only,,mixed,reusable workflow ./.github/workflows/build-test-distribute-flavor.yml includes docker and k8s patterns
.github/workflows/build-test-distribute-flavor.yml,build,reusable_only,prod-builder-v3,host,no docker/k8s markers in job
.github/workflows/build-test-distribute-flavor.yml,test,reusable_only,${{ matrix.runner }},docker,job content includes docker/buildx/buildkit patterns
.github/workflows/build-test-distribute-flavor.yml,multi-gpu-test,reusable_only,prod-tester-amd-gpu-4-v1,docker,job content includes docker/buildx/buildkit patterns
.github/workflows/build-test-distribute-flavor.yml,compliance,reusable_only,prod-builder-v3,docker,job content includes docker/buildx/buildkit patterns
.github/workflows/build-test-distribute-flavor.yml,copy-to-acr,reusable_only,prod-default-small-v2,host,no docker/k8s markers in job
.github/workflows/codeql.yml,codeql,direct,ubuntu-latest,host,no docker/k8s markers in job
.github/workflows/container-validation-dynamo.yml,changed-files,direct,ubuntu-latest,host,no docker/k8s markers in job
.github/workflows/container-validation-dynamo.yml,dynamo-status-check,direct,ubuntu-latest,host,no docker/k8s markers in job
.github/workflows/container-validation-dynamo.yml,build,direct,prod-builder-v3,docker,job content includes docker/buildx/buildkit patterns
.github/workflows/container-validation-dynamo.yml,rust-checks,direct,prod-tester-amd-gpu-v1,docker,job content includes docker/buildx/buildkit patterns
.github/workflows/container-validation-dynamo.yml,mypy,direct,prod-builder-amd-v1,docker,job content includes docker/buildx/buildkit patterns
.github/workflows/container-validation-dynamo.yml,test-parallel,direct,prod-builder-amd-v1,docker,job content includes docker/buildx/buildkit patterns
.github/workflows/container-validation-dynamo.yml,test-sequential,direct,prod-builder-amd-v1,docker,job content includes docker/buildx/buildkit patterns
.github/workflows/copyright-checks.yml,copyright-checks,other,ubuntu-24.04,k8s,job content includes k8s patterns
.github/workflows/dco_comment.yml,dco-comment,direct,ubuntu-latest,host,no docker/k8s markers in job
.github/workflows/docs-link-check.yml,lychee,direct,ubuntu-latest,host,no docker/k8s markers in job
.github/workflows/docs-link-check.yml,broken-links-check,direct,ubuntu-latest,host,no docker/k8s markers in job
.github/workflows/fern-docs.yml,changed-files,direct,ubuntu-latest,host,no docker/k8s markers in job
.github/workflows/fern-docs.yml,fern-check,direct,ubuntu-latest,host,no docker/k8s markers in job
.github/workflows/fern-docs.yml,fern-broken-links,direct,ubuntu-latest,host,no docker/k8s markers in job
