workflow_file	trigger_type	trigger_events	trigger_type_refined
allure-report.yml	direct	workflow_dispatch|workflow_run	manual|workflow_run
build-on-demand.yml	manual	workflow_dispatch	manual
codeql.yml	direct	pull_request	pull_request
container-validation-dynamo.yml	direct	push	push
dco_comment.yml	direct	pull_request	pull_request
docs-link-check.yml	direct	push|pull_request	push|pull_request
fern-docs.yml	direct	workflow_dispatch|push	manual|push
label-pr.yml	direct	pull_request_target	pull_request_target
lint-pr-title.yaml	direct	pull_request_target	pull_request_target
nightly-ci.yml	direct	workflow_dispatch|schedule	manual|schedule
post-merge-ci.yml	direct	push	push
pr.yaml	direct	workflow_dispatch|push	manual|push
pr_full_ci_reminder.yaml	direct	pull_request_target	pull_request_target
pre-merge.yml	direct	push|pull_request	push|pull_request
release.yml	direct	workflow_dispatch	manual
release_rc_announcement.yml	direct	schedule	schedule
stale_cleaner.yml	direct	schedule	schedule
test_report.yaml	direct	workflow_run	workflow_run
trigger_ci.yml	direct	push	push
